Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,070247,1990,01,24.3
IDCJAC0003,070247,1990,02,20.4
IDCJAC0003,070247,1990,03,17.7
IDCJAC0003,070247,1990,04,11.1
IDCJAC0003,070247,1990,05,9.2
IDCJAC0003,070247,1990,06,7.5
IDCJAC0003,070247,1990,07,8.5
IDCJAC0003,070247,1990,08,10.6
IDCJAC0003,070247,1990,09,15.8
IDCJAC0003,070247,1990,10,21.4
IDCJAC0003,070247,1990,11,28.2
IDCJAC0003,070247,1990,12,28.3
IDCJAC0003,070247,1991,01,26.2
IDCJAC0003,070247,1991,02,24.6
IDCJAC0003,070247,1991,03,21.7
IDCJAC0003,070247,1991,04,15.2
IDCJAC0003,070247,1991,05,11.3
IDCJAC0003,070247,1991,06,6.5
IDCJAC0003,070247,1991,07,8.4
IDCJAC0003,070247,1991,08,11.4
IDCJAC0003,070247,1991,09,15.7
IDCJAC0003,070247,1991,10,23.7
IDCJAC0003,070247,1991,11,26.5
IDCJAC0003,070247,1991,12,23.5
IDCJAC0003,070247,1992,01,27.3
IDCJAC0003,070247,1992,02,19.1
IDCJAC0003,070247,1992,03,18.7
IDCJAC0003,070247,1992,04,12.9
IDCJAC0003,070247,1992,05,10.1
IDCJAC0003,070247,1992,06,7.8
IDCJAC0003,070247,1992,07,8.8
IDCJAC0003,070247,1992,08,11.9
IDCJAC0003,070247,1992,09,14.8
IDCJAC0003,070247,1992,10,17.4
IDCJAC0003,070247,1992,11,22.9
IDCJAC0003,070247,1992,12,22.9
IDCJAC0003,070247,1993,01,25.9
IDCJAC0003,070247,1993,02,21.9
IDCJAC0003,070247,1993,03,17.1
IDCJAC0003,070247,1993,04,14.7
IDCJAC0003,070247,1993,05,10.4
IDCJAC0003,070247,1993,06,8.3
IDCJAC0003,070247,1993,07,7.8
IDCJAC0003,070247,1993,08,10.1
IDCJAC0003,070247,1993,09,14.5
IDCJAC0003,070247,1993,10,20.4
IDCJAC0003,070247,1993,11,25.7
IDCJAC0003,070247,1993,12,23.0
IDCJAC0003,070247,1994,01,29.1
IDCJAC0003,070247,1994,02,21.6
IDCJAC0003,070247,1994,03,18.5
IDCJAC0003,070247,1994,04,12.9
IDCJAC0003,070247,1994,05,9.4
IDCJAC0003,070247,1994,06,7.3
IDCJAC0003,070247,1994,07,10.1
IDCJAC0003,070247,1994,08,14.8
IDCJAC0003,070247,1994,09,17.1
IDCJAC0003,070247,1994,10,20.5
IDCJAC0003,070247,1994,11,22.4
IDCJAC0003,070247,1994,12,28.2
IDCJAC0003,070247,1995,01,21.2
IDCJAC0003,070247,1995,02,24.6
IDCJAC0003,070247,1995,03,19.4
IDCJAC0003,070247,1995,04,14.8
IDCJAC0003,070247,1995,05,8.5
IDCJAC0003,070247,1995,06,6.9
IDCJAC0003,070247,1995,07,8.4
IDCJAC0003,070247,1995,08,14.2
IDCJAC0003,070247,1995,09,15.2
IDCJAC0003,070247,1995,10,21.1
IDCJAC0003,070247,1995,11,19.7
IDCJAC0003,070247,1995,12,27.8
IDCJAC0003,070247,1996,01,23.6
IDCJAC0003,070247,1996,02,22.3
IDCJAC0003,070247,1996,03,19.4
IDCJAC0003,070247,1996,04,13.4
IDCJAC0003,070247,1996,05,10.1
IDCJAC0003,070247,1996,06,8.0
IDCJAC0003,070247,1996,07,7.9
IDCJAC0003,070247,1996,08,12.4
IDCJAC0003,070247,1996,09,17.4
IDCJAC0003,070247,1996,10,21.3
IDCJAC0003,070247,1996,11,25.6
IDCJAC0003,070247,1996,12,26.6
IDCJAC0003,070247,1997,01,25.7
IDCJAC0003,070247,1997,02,24.3
IDCJAC0003,070247,1997,03,19.4
IDCJAC0003,070247,1997,04,16.4
IDCJAC0003,070247,1997,05,10.0
IDCJAC0003,070247,1997,06,8.4
IDCJAC0003,070247,1997,07,10.0
IDCJAC0003,070247,1997,08,13.5
IDCJAC0003,070247,1997,09,14.9
IDCJAC0003,070247,1997,10,24.6
IDCJAC0003,070247,1997,11,26.4
IDCJAC0003,070247,1997,12,28.7
IDCJAC0003,070247,1998,01,23.0
IDCJAC0003,070247,1998,02,25.3
IDCJAC0003,070247,1998,03,20.8
IDCJAC0003,070247,1998,04,13.2
IDCJAC0003,070247,1998,05,9.2
IDCJAC0003,070247,1998,06,7.5
IDCJAC0003,070247,1998,07,8.5
IDCJAC0003,070247,1998,08,10.4
IDCJAC0003,070247,1998,09,16.0
IDCJAC0003,070247,1998,10,20.8
IDCJAC0003,070247,1998,11,23.9
IDCJAC0003,070247,1998,12,27.4
IDCJAC0003,070247,1999,01,24.4
IDCJAC0003,070247,1999,02,23.1
IDCJAC0003,070247,1999,03,17.8
IDCJAC0003,070247,1999,04,13.8
IDCJAC0003,070247,1999,05,11.1
IDCJAC0003,070247,1999,06,8.5
IDCJAC0003,070247,1999,07,9.4
IDCJAC0003,070247,1999,08,13.2
IDCJAC0003,070247,1999,09,16.2
IDCJAC0003,070247,1999,10,17.5
IDCJAC0003,070247,1999,11,25.0
IDCJAC0003,070247,1999,12,25.1
IDCJAC0003,070247,2000,01,27.2
IDCJAC0003,070247,2000,02,23.3
IDCJAC0003,070247,2000,03,16.3
IDCJAC0003,070247,2000,04,13.2
IDCJAC0003,070247,2000,05,9.5
IDCJAC0003,070247,2000,06,8.6
IDCJAC0003,070247,2000,07,8.9
IDCJAC0003,070247,2000,08,11.6
IDCJAC0003,070247,2000,09,16.8
IDCJAC0003,070247,2000,10,19.7
IDCJAC0003,070247,2000,11,19.5
IDCJAC0003,070247,2000,12,30.3
IDCJAC0003,070247,2001,01,23.8
IDCJAC0003,070247,2001,02,21.8
IDCJAC0003,070247,2001,03,19.0
IDCJAC0003,070247,2001,04,13.8
IDCJAC0003,070247,2001,05,11.0
IDCJAC0003,070247,2001,06,8.4
IDCJAC0003,070247,2001,07,8.5
IDCJAC0003,070247,2001,08,12.0
IDCJAC0003,070247,2001,09,16.9
IDCJAC0003,070247,2001,10,21.4
IDCJAC0003,070247,2001,11,23.8
IDCJAC0003,070247,2001,12,27.2
IDCJAC0003,070247,2002,01,27.7
